hwid,issuer,expires,global,username,suspensions
54696-1676F-20467-26167-61303-03333-312D3-13030-30302-D3030-30303-12D41-41323-33,IcePools,NEVER,0,FragaPT,1
43756-F6E67-445A3-03033-33312-D3130-30303-02D30-30303-0312D-41413-2333,Chino,NEVER,0,tungdinh,1
41646-D696E-69737-47261-746F7-23030-33333-12D31-30303-0302D-30303-03031-2D414-13133-3,Chino,NEVER,0,Ghast,1
48503-03033-33312-D3130-30303-02D30-30303-0312D-41413-8313,linsonder6,NEVER,0,SirHurtGamerz,1
NONE,Chino,NEVER,0,toanratdeptrai,1
4E334-F4E2E-56325-34D42-41532-D4F54-50544-52D4C-44475-3442D-43425-34241-2D474-B5245-5,taz,NEVER,0,xXGamerkid3,1
NONE,taz,NEVER,0,1StAyL,3
44616-D6965-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,tilt,1
NONE,luci,NEVER,0,Frisky,1
41636-57230-30323-5392D-33303-83439-2D393-73639-332D4-1414F-454,Bass,NEVER,0,cashcarti,1
41646-D696E-69737-47261-746F7-23030-33333-12D31-30303-0302D-30303-03031-2D414-13434-3,Chino,NEVER,0,helloimissun,1
44454-C4C30-30333-3302D-38303-03030-2D303-03030-302D4-14133-313,linsonder6,NEVER,0,MeowBros,2
41646-D696E-69737-47261-746F7-23030-34323-62D4F-454D2-D3839-39323-63632-2D303-03137-3,Chino,NEVER,0,maithanhcong,1
616C7-6656A-30303-33331-2D313-03030-302D3-03030-30312-D4141-36363,CloroxChan3,NEVER,0,4lve,1
NONE,IcePools,NEVER,0,sjb180,3
6B616-D616C-30303-33330-2D383-03030-302D3-03030-30302-D4141-32303,IcePools,NEVER,0,JacobWilson,1
61646-16D66-31565-55656-2D464-C4141-2D445-35A44-2D413-34543-2D465-0494D-2D434-54,IcePools,NEVER,0,xMemer123,2
NONE,IcePools,NEVER,0,Puhmes,3
746D7-43230-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,Chino,NEVER,0,kietvn24,1
74726-16E74-30303-33331-2D313-03030-302D3-03030-30312-D4141-31393,Chino,NEVER,0,tpast,1
74756-16E20-616E6-83030-33333-12D32-30333-0312D-38323-03737-2D414-13739-3,Chino,NEVER,0,tuananhcf123,1
41646-D696E-30303-33331-2D313-03030-302D3-03030-30312-D4141-30303,Chino,NEVER,0,nhocsuhot,1
6D617-36F6E-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,CloroxChan3,NEVER,0,MasonTheCreeper,1
77616-C6C75-79303-03333-312D3-13030-30302-D3030-30303-12D41-41303-43,CloroxChan3,NEVER,0,wally,1
73746-57068-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,CloroxChan3,NEVER,0,KarmaXyy,1
4C696-C6368-656F3-03033-32362-D3033-35323-12D33-32353-6352D-41414-F454,IcePools,NEVER,0,ThatOneAnimeName,1
46617-26573-20416-76861-30303-33330-2D383-03230-332D3-73438-38312-D4141-30383,IcePools,NEVER,0,NullByte,2
NONE,IcePools,NEVER,0,Zephyr,1
NONE,IcePools,NEVER,0,OneMan123,1
72676-17772-30303-33330-2D353-03934-332D3-83530-39362-D4141-4F454,IcePools,NEVER,0,rithikgawri,1
NONE,IcePools,NEVER,0,joseph1454,1
4E304-13030-33323-72D37-30303-0302D-30303-03031-2D414-13430-3,IcePools,NEVER,0,s0c1337,1
52657-06C69-63617-46564-30303-43235-2D303-03030-302D3-03030-30322-D4141-31363,Bass,NEVER,0,phorcysdev,1
54726-97374-616E3-03033-33302-D3830-30303-02D30-30303-0302D-41413-4353,Bass,NEVER,0,Visionix,1
6E616-4696E-30303-33235-2D383-03935-322D3-33830-34362-D4141-4F454,cloroxchan3,NEVER,0,lolpoony123,1
41646-D696E-30303-33330-2D383-03030-302D3-03030-30302-D4141-38383,Chino,NEVER,0,luannoob123,1
41535-55330-30333-2372D-33353-83630-2D383-13233-322D4-1414F-454,Chino,NEVER,0,feizul,2
796F7-57373-30303-33331-2D313-03030-302D3-03030-30312-D4141-34353,Taz,NEVER,0,youssefgamer,1
414D4-A3030-33333-02D38-30313-1352D-38393-53934-2D414-13235-3,luci,NEVER,0,prosisty,1
NONE,linsonder6,NEVER,0,Krogers,3
46756-A6974-73753-03033-33312-D3130-30303-02D30-30303-0312D-41413-4343,IcePools,NEVER,1,Ma7mood,2
4E756-D204E-756D7-33030-33323-52D38-31313-2312D-32323-13536-2D414-14F45-4,linsonder6,NEVER,0,NumNums,2
NONE,luci,NEVER,0,CHESEKING2222,1
4D696-36861-656C2-0526F-62626-96E73-64333-33066-2D663-56263-352D3-33963-30392-D3135-4F314,IcePools,NEVER,0,Yeetedon,1
NONE,IcePools,NEVER,0,viiiqes,2
63686-1726C-4E4D6-5614F-2D395-4304E-512D4-B474C-474B2-D4D4E-65535-02D51-47535-23,IcePools,NEVER,0,QuickDropMeh,2
42696-C616C-30303-33330-2D383-03030-302D3-03030-30302-D4141-38323,IcePools,NEVER,0,wheeymad,1
6B616-37065-30303-33235-2D393-53832-302D3-33030-37312-D4141-4F454,IcePools,NEVER,0,MemoryZone,1
NONE,IcePools,NEVER,0,pooly,1
4D617-83030-33323-52D39-36363-2332D-36383-23130-2D414-14F45-4,IcePools,NEVER,0,unholy,2
NONE,IcePools,NEVER,0,Devil,1
7A656-96461-31303-9332D-32303-63239-2D333-13438-322D3-83331-3,cloroxchan3,NEVER,0,RoseJackk,1
5A4D5-73030-33323-62D30-33353-0392D-35363-83733-2D414-14F45-4,cloroxchan3,NEVER,0,yoyodigityDogs,1
796F7-53030-33323-62D31-30303-0302D-30303-03030-2D414-13933-3,IcePools,NEVER,0,jackopl,1
66696-C6970-30303-33235-2D383-03630-372D3-53438-37392-D4141-4F454,IcePools,NEVER,0,Vexo123,1
526F6-E6530-30333-2372D-36303-03030-2D303-03030-302D4-14137-323,luci,NEVER,0,reaper,1
61796-4656E-30303-33235-2D383-13232-352D3-53034-30312-D4141-4F454,Strazos,NEVER,0,leafshine,1
6A617-26B6B-30303-33236-2D313-03030-302D3-03030-30302-D4141-31323,IcePools,NEVER,0,markoust,1
53717-56172-65733-03033-33302-D3530-30303-02D30-30303-0302D-41414-F454,IcePools,NEVER,0,Squares,2
4D696-36861-656C3-03033-33312-D3130-30303-02D30-30303-0312D-41413-4333,IcePools,NEVER,0,coochinator,1
79687-33239-30303-33331-2D313-03030-302D3-03030-30312-D4141-30303,Taz,NEVER,0,pj9388,1
616D6-56C2D-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,NonsenseDiamond,1
56616-E2048-65737-36C65-72733-03033-32362-D3130-30303-02D30-30303-0302D-41413-9313,linsonder6,NEVER,0,Th3realdylanYT,1
59697-35961-73303-03432-362D4-F454D-2D383-93932-36363-22D30-30303-03,IcePools,NEVER,0,Yas,1
NONE,luci,NEVER,0,Lonson,1
534D4-15348-20536-3686F-6C617-23030-33333-02D38-30303-0302D-30303-03030-2D414-13333-3,luci,2020-07-10,0,goreshivt,2
41646-D696E-69737-47261-746F7-23030-33323-92D30-30303-0302D-30303-03033-2D414-13831-3,Chino,NEVER,0,QuynhTho1409,1
NONE,IcePools,2020-06-17,0,IcePools,3
69616-E616C-30303-33331-2D323-03436-332D3-53335-37312-D4141-31393,IcePools,NEVER,0,ialecci11,1
626F6-E646F-30303-33235-2D383-43930-342D3-23435-33372-D4141-4F454,IcePools,NEVER,0,WhySoMeanDux,1
54727-56661-30303-33330-2D383-03030-302D3-03030-30302-D4141-36383,IcePools,NEVER,0,skroon19,1
NONE,IcePools,NEVER,0,Bobbybob,1
646F6-F6B64-30303-33330-2D383-03030-302D3-03030-30302-D4141-35333,Bass,NEVER,0,shirouaki13,1
50433-03033-32352-D3931-30313-12D31-34353-4332D-41414-F454,Bass,NEVER,0,hfst,1
79617-26B67-30303-33331-2D313-63033-302D3-03030-30312-D4130-37444,luci,2020-06-21,0,YarkFTW,1
4A6F6-26572-74303-03332-362D3-13030-30302-D3030-30303-02D41-41333-33,IcePools,NEVER,0,dabmaster,2
456C6-C6973-30303-33236-2D313-03030-302D3-03030-30302-D4141-36393,Taz,NEVER,0,uwuAstral,1
NONE,Taz,NEVER,0,ElizaMina,1
6C756-36173-30303-33237-2D363-03030-302D3-03030-30302-D4141-32303,IcePools,NEVER,0,blug0d,2
726B6-E3030-33333-02D38-30303-0302D-30303-03030-2D414-13832-3,IcePools,NEVER,0,rkn,1
4A6F6-26572-74303-03332-362D3-13030-30302-D3030-30303-02D41-41333-33,IcePools,NEVER,0,H8er,1
416E7-46F6E-696F3-03033-32352-D3936-31333-92D31-39393-9322D-41414-F454,IcePools,NEVER,0,Williams,1
7A697-2616C-6F773-03033-32352-D3830-30303-02D30-30303-0302D-41414-F454,IcePools,NEVER,0,Ziralow,1
73746-1726D-30303-33235-2D383-13534-362D3-23336-37332-D4141-4F454,IcePools,2020-07-09,0,Duckop7,1
58323-23030-30333-3312D-31303-03030-2D303-03030-312D4-14138-393,IcePools,NEVER,0,raytatche,2
NONE,IcePools,NEVER,0,ghassanonexploiting,1
42727-56B65-72303-03333-312D3-13030-30302-D3030-30303-12D41-41313-53,ureReady,NEVER,0,Baton,1
NONE,IcePools,NEVER,0,newzealand5456,1
53657-46830-30333-2362D-31303-03030-2D303-03030-302D4-14137-343,IcePools,NEVER,0,Reavane,1
646F6-D696E-30303-33238-2D313-03030-302D3-03030-30312-D4141-37373,IcePools,NEVER,0,LolTappedOut,1
NONE,Taz,2020-08-08,0,Macredal,2
436C6-9656E-74653-03033-33302-D3830-30303-02D30-30303-0302D-41413-5323,IcePools,NEVER,0,Athlic,1
56696-3746F-72303-03333-302D3-83030-30302-D3030-30303-02D41-41383-53,ureReady,NEVER,0,VictorR06,1
68797-06572-30303-33235-2D383-03536-382D3-03930-35362-D4141-4F454,luci,NEVER,0,ttvxdfraggz,1
6E617-46861-30303-33235-2D383-13335-322D3-03633-39322-D4141-4F454,IcePools,NEVER,0,StinkyTheHimself,1
42757-26F78-78303-03333-312D3-13030-30302-D3030-30303-12D41-41333-13,IcePools,NEVER,0,Buroxx69,1
566F6-16861-6E303-03332-352D3-93636-33352-D3132-38373-02D41-414F4-54,IcePools,NEVER,0,Voaahan,2
55736-57230-30333-3302D-38303-03030-2D303-03030-302D4-14130-333,IcePools,NEVER,0,WILKOE,1
546F6-D6974-61303-03333-302D3-83030-30302-D3030-30303-02D41-41373-33,IcePools,NEVER,0,tomilache,1
6F726-1676F-6E303-03332-352D3-83036-30302-D3439-36383-72D41-414F4-54,IcePools,NEVER,0,Woofinc,1
31303-03333-312D3-13030-30302-D3030-30303-12D41-41333-43,IcePools,NEVER,0,eXe,1
53747-56469-6F303-03333-312D3-13030-30302-D3030-30303-12D41-41323-33,IcePools,2020-07-17,0,numbaiden,1
53616-97461-6D613-73436-31352-D3735-37383-52D32-37383-7312D-34463-3423,IcePools,NEVER,0,ForRptk,1
56696-3746F-72303-03332-372D3-63030-30302-D3030-30303-02D41-41323-93,IcePools,NEVER,0,HYNZR,1
53616-D6D79-41707-06C65-31373-23039-2D323-63036-322D3-13432-302D3-23437-313,IcePools,NEVER,0,AtomicNooby,1
44696-F676F-30303-33330-2D383-03030-302D3-03030-30302-D4141-31303,IcePools,NEVER,0,DanielSiege2,1
726F6-46665-30303-33330-2D383-03030-302D3-03030-30302-D4141-38313,IcePools,NEVER,0,Rodrigodaboss,1
6B696-F736B-30303-43239-2D373-03030-302D3-03030-30302-D4141-39343,luci,NEVER,0,llolopenal222,2
NONE,IcePools,NEVER,0,Malitahj,2
4B616-C7669-30303-33536-2D303-23035-382D3-93634-36392-D4141-4F454,IcePools,NEVER,0,Kizior,1
6E7A6-9616E-696D6-53030-32363-12D35-30303-0302D-30303-03030-2D414-13433-3,IcePools,NEVER,0,Adven214,2
70686-96C6C-30303-33235-2D383-13033-302D3-73537-32312-D4141-4F454,IcePools,NEVER,0,LeviDogHack,1
726F6-36B74-30303-33330-2D383-03030-302D3-03030-30302-D4141-36353,IcePools,2020-07-20,0,1Duriann,1
61646-D696E-30303-33330-2D383-03030-302D3-03030-30302-D4141-36353,IcePools,NEVER,0,iiAkihiro,1
72616-46A61-30303-33330-2D353-03030-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,raffaks,1
63686-1726C-30303-33330-2D383-03030-302D3-03030-30302-D4141-34393,IcePools,NEVER,0,zaudly,1
6E727-9616E-2E726-16930-30333-2362D-31313-23530-2D313-03030-322D4-14138-313,IcePools,NEVER,0,alurinqss,1
48502-04465-736B7-46F70-30303-33237-2D363-03030-302D3-03030-30302-D4141-35363,IcePools,NEVER,0,ImRagingAgain,1
55736-57230-30333-2352D-39353-83038-2D363-63235-362D4-1414F-454,IcePools,NEVER,0,Leonarda234,1
4F6C6-56730-30333-3312D-32303-03230-2D303-03030-302D4-14136-313,IcePools,NEVER,0,b0kij,1
47686-16D64-30303-33331-2D313-03030-302D3-03030-30312-D4141-36333,Chino,2020-08-15,0,YouNoobXD,1
4A6F7-36875-61303-03332-352D3-83135-36362-D3934-38333-32D41-414F4-54,Taz,NEVER,0,Prestonatlast,1
69616-D676F-30303-33331-2D323-03335-302D3-53936-37372-D4141-33353,IcePools,NEVER,0,whynotmezxca,1
4A617-26F6E-30303-33331-2D323-03330-362D3-73334-31342-D4141-31343,IcePools,NEVER,0,watboeiteennaam,1
74657-76E69-30303-33236-2D313-03030-302D3-03030-30302-D4141-39343,IcePools,NEVER,0,Tewni,3
6B696-F736B-30303-43239-2D373-03030-302D3-03030-30302-D4141-39343,IcePools,NEVER,0,SpyBlox,3
4C656-7656E-64204-27562-30303-33236-2D313-03030-302D3-03030-30302-D4141-36323,Taz,NEVER,0,Bl1zzArD,1
42727-56B65-72303-03333-302D3-83030-30302-D3030-30303-02D41-41313-73,IcePools,NEVER,0,Marcus2000,2
NONE,IcePools,NEVER,0,loqtizlol,3
63617-37065-30303-33236-2D313-03030-302D3-03030-30302-D4141-38373,Taz,NEVER,0,bloody,1
NONE,IcePools,NEVER,0,kuhujiban1a,2
63353-53939-30303-33235-2D393-63437-372D3-03130-34312-D4141-4F454,IcePools,NEVER,0,Disqualifi3d,1
71776-57274-30303-33237-2D373-03030-302D3-03030-30312-D4141-34393,IcePools,NEVER,0,DECSTER31,1
524F4-73030-33323-72D37-30303-0302D-30303-03031-2D414-13433-3,IcePools,2020-02-14,0,Mortal,1
4A6F6-86E20-4D696-36861-656C3-03033-32352-D3935-38343-72D39-34353-1302D-41414-F454,IcePools,NEVER,0,JuhnIsBest,1
65786-F7469-30303-33235-2D393-63231-322D3-53230-32342-D4141-4F454,IcePools,NEVER,0,ItsPeter,1
62617-46D61-30303-33536-2D303-23130-342D3-83531-36322-D4141-4F454,Iris,NEVER,0,Ghostyyy,1
NONE,IcePools,NEVER,0,Angeal,5
6F726-46930-30333-3302D-37353-03233-2D373-23036-392D4-1414F-454,IcePools,NEVER,0,HippoLePlusBeau,2
616E7-4686F-30303-33331-2D313-03030-302D3-03030-30312-D4141-33383,IcePools,NEVER,0,CountinBigGuap,1
416C7-7696E-30303-33330-2D383-03030-302D3-03030-30302-D4141-34313,IcePools,NEVER,0,Awi06,4
NONE,IcePools,NEVER,0,barcode,2
NONE,IcePools,NEVER,0,AlexTanneyTheGoat,1
77696-C6C69-30303-33236-2D313-03030-302D3-03030-30302-D4141-31373,IcePools,NEVER,0,RayZr,2
6D617-4746C-30303-33331-2D313-03030-302D3-03030-30312-D4141-33313,Taz,NEVER,0,KebabDeHamster,1
48657-3736C-65205-36174-656C6-C6974-65303-03333-302D3-83032-30332-D3333-36393-02D41-41373-03,IcePools,NEVER,0,Dayar,1
65637-37461-30303-33235-2D383-13531-362D3-63937-38362-D4141-4F454,IcePools,2020-02-14,0,ecstatic,1
44414-44120-48503-03033-32352-D3830-30303-02D30-30303-0302D-41414-F454,IcePools,NEVER,0,coolguyOk,2
73636-F725A-30303-33738-2D333-03030-302D3-03030-30332-D4141-35383,IcePools,NEVER,0,scorZ,2
52536-5616E-30303-33330-2D383-03030-302D3-03030-30302-D4141-30363,IcePools,2020-02-14,0,Trippy,1
74617-96C61-30303-33432-2D343-13332-332D3-63433-31372-D4141-4F454,IcePools,2020-02-14,0,itzNtTayo,1
616C6-57864-30303-33235-2D393-63136-362D3-13930-37352-D4141-4F454,IcePools,2020-02-14,0,Jake0125,1
NONE,IcePools,NEVER,0,Gmantron,1
NONE,IcePools,NEVER,0,MrfoxZ,2
55736-57230-30333-3312D-32303-03931-2D313-63737-382D4-14138-353,IcePools,NEVER,0,TheMicGuyMan,3
55736-57230-30333-3312D-31303-03030-2D303-03030-312D4-14130-383,IcePools,NEVER,0,Technicter,2
676C6-F6261-30303-33235-2D383-03931-322D3-63934-34312-D4141-4F454,RainWashed,2020-02-14,0,globalromeo1,1
42726-16E6B-6F303-03337-312D3-13737-2D303-03030-30363-12D38-35383-53,IcePools,NEVER,0,Bambloo,3
544F5-0434F-4D303-03333-312D3-13030-30302-D3030-30303-12D41-41323-63,IcePools,NEVER,0,JedzaKung,3
53686-1646F-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,ShadowAeiou,1
56697-36974-6F723-03033-32352-D3830-34303-82D38-31393-6352D-41414-F454,IcePools,NEVER,0,Duckules360,2
55737-56172-696F3-03033-33312-D3130-30303-02D30-30303-0312D-41413-2333,IcePools,NEVER,0,brubsbrabs,1
41484-D4554-30303-33239-2D303-03030-302D3-03030-30332-D4141-37303,IcePools,NEVER,0,Realahmet3525,1
42414-44552-30303-33331-2D313-03030-302D3-03030-30312-D4141-32363,IcePools,NEVER,0,lolinigga,1
416C6-57830-30333-2352D-38303-73032-2D383-33931-312D4-1414F-454,IcePools,NEVER,0,Alex18,1
46616-D696C-79303-03333-312D3-13030-30302-D3030-30303-12D41-41353-93,IcePools,NEVER,0,Green48,2
4D643-03033-32362-D3130-30303-02D30-30303-0302D-41413-1383,IcePools,NEVER,0,adhor1,2
46414-7474F-54303-03333-302D3-83030-30302-D3030-30303-02D41-41373-93,IcePools,NEVER,0,Kamelinger,1
53746-57665-30303-33330-2D373-13334-312D3-53537-39352-D4141-4F454,IcePools,NEVER,0,Dragonism,1
44657-36B74-6F703-03033-33312-D3130-30303-02D30-30303-0312D-41413-3353,IcePools,NEVER,0,MelonKing,1
476C6-F6261-6C733-03033-32352-D3831-31313-12D35-33313-7352D-41414-F454,IcePools,NEVER,0,Globals,1
4D617-26365-6C6F3-03033-32352-D3830-30303-72D35-34333-0382D-41414-F454,IcePools,NEVER,0,Marche,2
4F776-E6572-30303-33235-2D393-53830-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,XxAlexPlayerxX,1
63616-C6C75-6D303-03332-352D3-83031-35312-D3034-33363-62D41-414F4-54,IcePools,NEVER,0,247Alpha,1
63656-E7465-72746-56368-73303-03333-312D3-13030-30302-D3030-30303-12D41-41333-53,IcePools,NEVER,0,eliotwastaken,1
6B796-C656D-30303-33536-2D303-23133-342D3-63236-36362-D4141-4F454,IcePools,NEVER,0,Vakzek,1
6B796-C656D-30303-33536-2D303-23133-342D3-63236-36362-D4141-4F454,IcePools,NEVER,0,MrkWKD,1
6C6F6-E6772-30303-33236-2D333-03030-302D3-03030-30312-D4141-37303,IcePools,NEVER,0,lingress,2
6D687-37461-30303-33330-2D383-03137-382D3-13030-30322-D4141-34313,IcePools,NEVER,0,bacon,2
75736-57230-30333-2352D-38303-33538-2D303-63235-392D4-1414F-454,IcePools,NEVER,0,abslogy,1
53656-16E30-30333-2352D-39363-13934-2D303-03939-332D4-1414F-454,IcePools,NEVER,0,sgksus,1
6A6D6-56E64-30303-33536-2D303-23131-352D3-03035-33362-D4141-4F454,IcePools,NEVER,0,mrrichinhealth,1
44696-16E61-20576-17272-656E3-03033-32362-D3130-30303-02D30-30303-0302D-41413-4303,IcePools,NEVER,0,iWannabeJeff,2
69726-16B6C-30303-33239-2D303-03030-302D3-03030-30332-D4141-31323,IcePools,NEVER,0,Irakli17,1
NONE,IcePools,NEVER,0,Areorr,2
6D617-26B73-30303-33330-2D353-03030-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,iyethesuper34,1
41646-D696E-69737-47261-746F7-23030-33323-52D38-31353-1392D-34343-73332-2D414-14F45-4,IcePools,NEVER,0,Jevil,2
6D617-2636F-30303-33330-2D383-03030-302D3-03030-30302-D4141-31353,IcePools,NEVER,0,BetaIsPedo,2
42617-53030-33323-72D33-35383-4322D-39313-83436-2D414-14F45-4,IcePools,NEVER,0,6hirai,2
6A616-D6573-30303-33236-2D303-33532-342D3-93633-36382-D4141-4F454,IcePools,NEVER,0,iDeadlyPixels,1
52796-16E30-30333-3302D-38303-13932-2D303-43333-362D4-14137-393,IcePools,NEVER,0,ZerX,1
NONE,IcePools,NEVER,1,MemzSirHurt,1
68656-C6C6F-30303-33331-2D313-03030-302D3-03030-30312-D4141-36303,RainWashed,NEVER,0,overheaven,1
6E617-47461-30303-33331-2D313-03030-302D3-03030-30312-D4141-37353,ecstatic,NEVER,0,Kie,1
61776-16430-30333-2362D-31303-03030-2D303-03030-302D4-14132-303,IcePools,NEVER,0,ROBUX,1
6A616-D6965-30303-33236-2D313-03131-342D3-73936-33382-D4141-31303,IcePools,NEVER,0,Rixtz,1
416C6-93030-33373-12D4F-454D2-D3839-39323-63731-2D303-03030-3,IcePools,NEVER,0,1Pandora1,1
6A616-D6573-69657-33030-33323-62D31-30303-0302D-30303-03030-2D414-13335-3,IcePools,NEVER,0,james2000,3
74656-37461-30303-33235-2D393-13831-332D3-43530-36372-D4141-4F454,IcePools,NEVER,0,derpyerson8,1
4D475-95467-30303-33235-2D393-63439-322D3-53933-34392-D4141-4F454,IcePools,NEVER,0,RoXploit,2
53696-D6F6E-65303-03333-312D3-13030-30302-D3030-30303-12D41-41383-13,IcePools,NEVER,0,NecessaryPaint,2
656E7-26963-30303-33235-2D393-23430-372D3-53535-34352-D4141-4F454,IcePools,NEVER,0,NeverScript,1
61756-47265-30303-33235-2D393-63238-372D3-73934-37302-D4141-4F454,IcePools,NEVER,0,CreamCheeseWater,3
42696-97330-30333-2352D-38303-03030-2D303-03030-302D4-1414F-454,IcePools,NEVER,0,Biis,3
73756-C6162-30303-33235-2D383-13633-302D3-23238-32342-D4141-4F454,IcePools,NEVER,0,RAI,2
69616-D6173-30303-33330-2D383-03030-302D3-03030-30302-D4141-31383,IcePools,NEVER,0,Rmchk,1
65646-16E69-30303-33330-2D383-03030-302D3-03030-30302-D4141-37373,IcePools,NEVER,0,Kitaned,2
63686-1726C-30303-33330-2D383-03030-302D3-03030-30302-D4141-34393,IcePools,NEVER,0,chillsubscribe,1
486C6-96173-30303-33331-2D313-03030-302D3-03030-30312-D4141-35313,IcePools,NEVER,0,GiannisPoimenidis,1
64616-E6774-30303-33331-2D313-03030-302D3-03030-30312-D4141-31353,IcePools,NEVER,0,godstillhateme,1
6B615-F726D-61303-03333-302D3-83030-30302-D3030-30303-02D41-41363-33,IcePools,NEVER,0,vinhh26,1
54616-E7330-30333-2362D-31303-03030-2D303-03030-302D4-14138-343,IcePools,NEVER,0,TansS8215,1
42656-17532-39333-03,IcePools,NEVER,0,Exphon,1
49766-16E30-30333-2362D-31303-03030-2D303-03030-302D4-14138-393,IcePools,NEVER,0,Scorpionzero,3
50756-D706B-696E3-03033-32362-D3031-38353-62D36-30373-5352D-41414-F454,IcePools,NEVER,0,GodlySnipes,2
55736-57220-31303-03333-312D3-23033-30302-D3030-30303-02D41-41373-43,IcePools,NEVER,0,ixRiley,1
73686-5726D-61722-07461-796C6-F7230-30333-2352D-39363-63533-2D373-23435-392D4-1414F-454,IcePools,NEVER,0,sdking123,2
65696-D696E-30303-33330-2D383-03130-382D3-93335-38382-D4141-33333,IcePools,NEVER,0,Eiminas5356,1
436F6-46545-30303-33235-2D393-63036-372D3-23333-39342-D4141-4F454,IcePools,NEVER,0,MATEOPog,1
53746-56661-6E303-03333-312D3-13030-30302-D3030-30303-12D41-41323-83,IcePools,NEVER,0,XxCrisRoxX06,1
4C696-C6961-6E613-03033-32372-D3330-36303-82D37-34383-5302D-41414-F454,IcePools,NEVER,0,DiegoStar,2
NONE,IcePools,NEVER,1,Taz,1
6C697-36173-30303-33330-2D383-13437-362D3-33430-33332-D4141-36353,IcePools,NEVER,0,viperzzz,1
41646-D696E-69737-47261-746F7-23030-33373-12D31-37372-D3030-30303-03631-2D383-53432-3,IcePools,NEVER,0,kadalliwat04,2
6D617-46573-30303-33330-2D383-03030-302D3-03030-30302-D4141-33363,PhantomExploitsYT,NEVER,0,mates22110,1
NONE,ecstatic,NEVER,0,0x07,1
47726-96368-30303-33235-2D383-03030-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,britton81x,1
53495-3414D-30303-33236-2D333-03030-302D3-03030-30312-D4141-36353,Robloxian54334,NEVER,0,xXJustmeeXx,1
73616-C776F-30303-33235-2D383-03030-302D3-03030-30302-D4141-4F454,Colez,NEVER,0,Heinz69,1
6A766-77565-64657-33037-30303-23631-2D353-03030-302D3-03030-30302-D4141-37353,PhantomExploitsYT,NEVER,0,jvguedes,1
65706-87261-30303-33235-2D393-63033-312D3-23230-39372-D4141-4F454,IcePools,NEVER,0,repurges,2
6B786-E7361-30303-33235-2D383-13732-352D3-63831-32302-D4141-4F454,IcePools,NEVER,0,Kxnsaii,1
