date,estimate,paypal_estimate
2020-08-07,84.72,411.78
2020-08-08,57.04,254.66
2020-08-09,108.88,202.22
2020-08-10,66.88,182.34
2020-08-11,71.78,319.56
2020-08-12,55.36,269.58
2020-08-13,70.32,204.66
2020-08-14,61.76,337.04
2020-08-15,24,262.1
2020-08-16,88.32,214.62
2020-08-17,54.08,174.76
2020-08-18,53.28,167.2
2020-08-19,61.2,182.18
2020-08-20,42,179.72
2020-08-21,59.84,224.6
2020-08-22,41.76,247.08
2020-08-23,14.96,132.28
2020-08-24,41.36,162.24
2020-08-25,54.56,267.06
2020-08-26,40.64,174.76
2020-08-27,57.92,242.1
2020-08-28,85.68,0
2020-08-29,72.24,0
2020-08-30,125.44,304.72
2020-08-31,30.56,152.28
2020-09-01,35.2,219.64
2020-09-02,224,199.72
2020-09-03,108.02,139.74
2020-09-04,39.52,189.68
2020-09-05,27.12,237.24
2020-09-06,97.68,189.82
2020-09-07,30.16,0
2020-09-08,66.32,264.76
2020-09-09,61.28,139.84
2020-09-10,52.56,267.22
2020-09-11,60.24,164.78
2020-09-12,28.16,209.76
2020-09-13,41.28,192.26
2020-09-14,18.72,129.86
2020-09-15,8.24,164.76
2020-09-16,41.36,179.76
2020-09-17,11.36,204.74
2020-09-18,58.08,194.8
2020-09-19,36.48,202.22
2020-09-20,43.12,264.62
2020-09-21,44.88,242.24
2020-09-22,14.16,102.38
2020-09-23,39.12,289.52
2020-09-24,32.88,184.72
2020-09-25,50.08,127.32
2020-09-26,37.12,197.2
2020-09-27,70.4,284.58
2020-09-28,31.28,219.68
2020-09-29,38.56,129.9
2020-09-30,57.68,297.16
2020-10-01,17.68,242.16
2020-10-02,46.4,234.72
2020-10-03,62.72,262.16
2020-10-04,42.16,197.18
2020-10-05,46.64,209.7
2020-10-06,32.16,222.24
2020-10-07,41.52,209.72
2020-10-08,55.76,294.6
2020-10-09,46.32,232.18
2020-10-10,46,404.42
2020-10-11,36,259.64
2020-10-12,39.52,272.22
2020-10-13,64.96,182.3
2020-10-14,58.96,247.18
2020-10-15,45.76,267.14
2020-10-16,60.16,242.26
2020-10-17,104.24,297.18
2020-10-18,32.64,324.56
2020-10-19,51.28,209.68
2020-10-20,57.86,244.76
2020-10-21,55.84,209.76
2020-10-22,47.04,212.24
2020-10-23,52.08,254.66
2020-10-24,52.64,277.2
2020-10-25,56.88,337.08
2020-10-26,65.12,269.6
2020-10-27,38.08,167.32
2020-10-28,38.48,142.36
2020-10-29,44.88,239.7
2020-10-30,32.08,244.72
2020-10-31,54.64,199.72
2020-11-01,47.68,192.24
2020-11-02,36.4,149.8
2020-11-03,32.48,224.66
2020-11-04,43.76,164.86
2020-11-05,40.88,309.6
2020-11-06,33.52,239.72
2020-11-07,59.28,207.22
2020-11-08,41.36,307.12
2020-11-09,57.28,334.78
2020-11-10,19.36,127.32
2020-11-11,93.28,189.72
2020-11-12,45.76,202.3
2020-11-13,34,272.22
2020-11-14,39.6,174.76
2020-11-15,24.72,204.78
2020-11-16,46,272.24
2020-11-17,94.56,232.18
2020-11-18,32.72,209.66
2020-11-19,11.36,112.4
2020-11-20,23.92,134.86
2020-11-21,36.16,217.22
2020-11-22,44.72,154.84
2020-11-23,58.32,179.76
2020-11-24,29.04,182.22
2020-11-25,55.86,92.4
2020-11-26,36.64,224.66
2020-11-27,41.12,237.18
2020-11-28,60,142.34
2020-11-29,27.44,204.76
2020-11-30,50.18,284.68
2020-12-01,20.4,172.28
2020-12-02,35.68,112.34
2020-12-03,28.4,214.72
2020-12-04,67.44,212.2
2020-12-05,854.43,20
2020-12-06,25.04,177.28
2020-12-07,9.92,169.8
2020-12-08,18.72,227.3
2020-12-09,24.08,162.3
2020-12-10,30.24,209.68
2020-12-11,52.88,262.14
2020-12-12,42.88,282.16
2020-12-13,29.92,214.7
2020-12-14,64.08,202.24
2020-12-15,43.84,147.3
2020-12-16,18.08,264.62
2020-12-17,87.68,219.74
2020-12-18,24.64,247.14
2020-12-19,41.6,294.56
2020-12-20,35.6,229.68
2020-12-21,58,237.18
2020-12-22,63.12,214.72
2020-12-23,40.4,232.14
2020-12-24,42.96,299.13
2020-12-25,398.32,564.2
2020-12-26,109.2,329.46
2020-12-27,22.24,232.14
2020-12-28,86.48,177.22
2020-12-29,63.96,229.7
2020-12-30,150.4,234.62
2020-12-31,100.64,252.08
2021-01-01,100.56,217.18
2021-01-02,77.04,297
2021-01-03,60.48,224.64
2021-01-04,49.84,244.6
2021-01-05,32.88,179.72
2021-01-06,59.68,449.2
2021-01-07,76.32,397
2021-01-08,41.92,537.18
2021-01-09,100.48,326.18
2021-01-10,70.4,211.68
2021-01-11,42.8,283.14
2021-01-12,73.84,221.2
2021-01-13,111.2,275.1
2021-01-14,31.7,287.08
2021-01-15,18.16,151.8
2021-01-16,83.92,253.14
2021-01-17,42.8,193.7
2021-01-18,43.12,301.18
2021-01-19,99.04,187.74
2021-01-20,101.84,387.9
2021-01-21,102.96,191.22
2021-01-22,205.2,233.62
2021-01-23,35.68,274.54
2021-01-24,95.68,365.26
2021-01-25,79.12,374.18
2021-01-26,88.64,492.68
2021-01-27,24.48,413.24
2021-01-28,54.82,478.72
2021-01-29,68.4,630.62
2021-01-30,131.3,413.68
2021-01-31,112.72,271.7
2021-02-01,31.2,325.8
2021-02-02,47.36,421.2
2021-02-03,98.24,593.08
2021-02-04,55.7,478.22
2021-02-05,100.96,493.22
2021-02-06,61.12,728.52
2021-02-07,116.88,407.22
2021-02-08,52.48,446.74
2021-02-09,58.48,608.39
2021-02-10,32,453.24
2021-02-11,58.32,711.18
2021-02-12,82.56,640.5
2021-02-13,56.66,306.99
2021-02-14,130.64,403.24
2021-02-15,58.8,379.17
2021-02-16,64.72,404.35
2021-02-17,94.08,263.62
2021-02-18,88.32,192.67
2021-02-19,74.88,325.63
2021-02-20,43.44,265.74
2021-02-21,90.16,111.21
2021-02-22,52.24,177.77
2021-02-23,56.96,286.77
2021-02-24,60.8,317.82
2021-02-25,143.76,413.04
2021-02-26,85.6,291.28
2021-02-27,105.6,255.78
2021-02-28,143.52,294.62
2021-03-01,49.12,248.55
2021-03-02,46.64,301.74
2021-03-03,66.88,429.97
2021-03-04,50.64,285.68
2021-03-05,30.4,507.82
2021-03-06,39.52,498.8
2021-03-07,63.76,263.52
2021-03-08,51.76,522.2
2021-03-09,27.12,255.78
2021-03-10,101.28,349.52
2021-03-11,14.4,426.4
2021-03-12,67.2,500.94
2021-03-13,43.12,348.58
2021-03-14,89.2,149.74
2021-03-15,121.6,102.36
2021-03-16,46.96,139.74
2021-03-17,60.56,154.94
2021-03-18,113.6,139.76
2021-03-19,35.2,315.14
2021-03-20,96,453
2021-03-21,37.36,254.22
2021-03-22,58.16,349.8
2021-03-23,35.6,326.2
2021-03-24,17.04,207.06
2021-03-25,36.88,697.92
2021-03-26,132.4,518.16
2021-03-27,47.76,461.96
2021-03-28,47.68,474.78
2021-03-29,46.72,314.68
2021-03-30,56.16,213.9
2021-03-31,31.12,144.72
2021-04-01,80.48,212.04
2021-04-02,94.16,314.32
2021-04-03,50.48,225.38
2021-04-04,56.24,312.04
2021-04-05,14,277.82
2021-04-06,22.4,226.12
2021-04-07,35.44,208.1
2021-04-08,42,252.86
2021-04-09,107.38,294.76
2021-04-10,39.76,118.32
2021-04-11,21.6,178.82
2021-04-12,19.92,222.66
2021-04-13,22.4,199.36
2021-04-14,58.24,186.68
2021-04-15,100,265.54
2021-04-16,18.4,247.68
2021-04-17,111.44,229.96
2021-04-18,73.52,277.08
2021-04-19,45.28,108.9
2021-04-20,36.96,178.96
2021-04-21,37.12,266.92
2021-04-22,25.12,95.44
2021-04-23,64.24,141.22

