TICKET_ID,CUST_IP,QUERY_JSON,QUERY_TYPE,CUST_USERNAME,TICKET_STATUS,ASSISTING_STAFF_JSON
iAPN2RHZWF,103.160.40.6,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSB0aGVncm93bmQxNg=="",""Member"":""thegrownd16"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-21""},{""Query"":""VHJ5IHNlZWluZyBpZiB0aGUgcHJvYmxlbSBwZXJzaXN0cy4gU2VuZCBpdCB0byBodHRwczovL3d3dy5yb2Jsb3guY29tL3VzZXJzLzI0MzYzMzIyNDkvcHJvZmlsZQ=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-21""},{""Query"":""SSB3YW50IHRvIGJ1eSBwZXJtYW5lbnQgc2lyaHVydCB1c2luZyBSb2Jsb3ggQ29sbGVjdGlibGUgLyBsaW1pdGVkIChQcmVtaXVtIG9ubHkpIGJ1dCB3aHkgZG9lcyBpdCBhbHdheXMgZ2V0IGFuIGVycm9yIGFuZCB3aGljaCBhY2NvdW50IGRvIEkgaGF2ZSB0byB0cmFkZSBteSBnb29kcz8="",""Member"":""thegrownd16"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",Technical Issues,thegrownd16,SOLVED,<blank>
hqaqvb7CPc,2601:646:8500:de50:a0b7:4b16:db1b:b51f,"{""Queries"":[{""Query"":""bmV2ZXJtaW5kIGkgYm91Z2h0IGl0IGFnYWlu"",""Member"":""ispeak4ztrees"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-20""},{""Query"":""YW5kIGFsc28gaSBtYWRlIHRoaXMgbmV3IGFjY291bnQgYmVjYXVzZSBmb3Igc29tZSByZWFzb24gdGhlIHdlYnNpdGUgdGVsbHMgbWUgdGhlcmUgaXMgbm8gYWNjb3VudCByZWdpc3RlcmVkIGJ5IG15IGVtYWlsLi4uYW5kIEkgY291bGRudCByZW1lbWJlciB0aGUgdXNlcm5hbWUgYW5kIHBhc3MgZm9yIGl0"",""Member"":""ispeak4ztrees"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-20""},{""Query"":""SXZlIGJvdWdodCBBc3NodXJ0IGEgd2hpbGUgYmFjayBhbmQgSSBzdGlsbCBoYXZlIHRoZSBlbWFpbCB3aXRoIHRoZSBzZXJpYWwvY29kZSBhbmQgZG93bmxvYWQgaW5zdHJ1Y3Rpb25zIGJ1dCB3aGVuIGV2ZXIgSSBwcmVzcyB0aGUgbGluayBpdCB0YWtlcyBtZSB0byBsb2dpbiBzY3JlZW4gYW5kIGFmdGVyIEkgbG9naW4gdGFrZXMgbWUgYmFjayB0byBIb21lcGFnZQ=="",""Member"":""ispeak4ztrees"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-20""}]}",General Inquiry,ispeak4ztrees,SOLVED,<blank>
Gov3VzbqT8,165.227.6.160,"{""Queries"":[{""Query"":""WW8gZ3V5cyBpdHMgTHVjaWZlci4gTXkgYWNjIGdvdCB0ZXJtZWQgYW5kIHRoZSBpbnZpdGUgaXMgYmVpbmcgbGFtZVxuXG5MdWNpZmVyciMyMTA4"",""Member"":""Lucifer"",""IsStaff"":false,""Rank"":""Secretary"",""Query_Date"":""2021-03-20""}]}",General Inquiry,Lucifer,CLOSED,<blank>
OM22vEa664,71.232.139.82,"{""Queries"":[{""Query"":""ZGlzY29yZCBnb3QgZGVsZXRlZCwgd2lsbCBiZSB1cCBzaG9ydGx5"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-20""},{""Query"":""V2hhdCBoYXBwZW5lZCB0byBkaXNjb3JkPz8/"",""Member"":""Krispcode"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",General Inquiry,Krispcode,SOLVED,<blank>
T1g2U8lt6C,2603:7000:ce3f:cc05:959e:7714:6ec6:a711,"{""Queries"":[{""Query"":""c2VydmVyIGlzIGRlbGV0ZWQgYW5kIHdpbGwgYmUgdXAgc29vbg=="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-20""},{""Query"":""RGlkIHRoZSBTaXJIdXJ0IHNlcnZlciBnZXQgZGVsZXRlZCBhZ2Fpbj8gaWYgc28sIHBsZWFzZSBzZW5kIG1lIHRoZSBpbnZpdGU="",""Member"":""KicksboySirHurt"",""IsStaff"":false,""Rank"":""Ex-Employee"",""Query_Date"":""2021-03-20""}]}",General Inquiry,KicksboySirHurt,SOLVED,<blank>
2SIxYgcRlW,2001:4451:4122:d00:fdb6:73f0:9b1d:c027,"{""Queries"":[{""Query"":""c2VydmVyIGlzIG5vdCB1cCB5ZXQsIGl0IHdpbGwgYmUgdXAgc29vbg=="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""aXMgdGhlcmUgYSBuZXcgaW52aXRlIGZvciB0aGUgZGlzY29yZCBzZXJ2ZXI="",""Member"":""kluxcpr"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",General Inquiry,kluxcpr,SOLVED,<blank>
V07Qs8ndmR,2601:2c1:8200:cf80:5137:ab56:354d:9545,"{""Queries"":[{""Query"":""dGhlIHNlcnZlciBnb3QgZGVsZXRlZCBieSBkaXNjb3JkLCB3YWl0IHVudGlsIGEgbmV3IG9uZSBpcyBjcmVhdGVkIHRoZW4gam9pbiBmcm9tIHRoZSB3ZWJzaXRl"",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""SSB0aGluayBJIHdhcyBraWNrZWQgb3V0IHRoZSBkaXNjb3JkIHNlcnZlciBteSBkaXNjb3JkIG5hbWUgaXMgQ2h1bUtpbmcjMjI3Nw=="",""Member"":""ChumKing"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",General Inquiry,ChumKing,SOLVED,<blank>
QkAQsuVwtG,136.158.32.43,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSByb2JsYWtz"",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-21""},{""Query"":""aXQgc2VlbXMgdGhhdCB0aGUga2V5IGhhcyBiZWVuIHJlZGVlbWVkIG9uIGFub3RoZXIgYWNjb3VudCBiZWZvcmUsIGJ1dCB0aGUgYWNjb3VudCBkb2VzIG5vdCBleGlzdC4gdGhlIG5hbWUgb2YgaXQgaXMgR2FtaW5nWVRaQUNLMSwgZG8geW91IHJlY29nbmlzZSBpdD8="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""d2hhdCBpcyB5b3VyIHJvYmxveCB1c2VybmFtZQ=="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""aHR0cHM6Ly9pbWd1ci5jb20vZHYwbnhkZg=="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""aSBwYWlkIDQ4IHJvYnV4IGZvciBpdA=="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""U2VyaWFsOiBOQ0tIUDRHemZDIERhdGU6IDIwMjEtMy0yMA=="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""aWxsIHNob3cgdSBzb21ldGhpbmc="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""eWVzLg=="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""dGhlIGtleSBpcyBpbnZhbGlkLCBhcmUgeW91IHN1cmUgdGhhdCBpcyB1ciBrZXk="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""V2hlbiBpIHdoaXRlbGlzdCBteSBrZXkgaXQgc2F5cyAgdG9rZW4gbm90IGZvdW5kLCBJbiB0aGUgd2hpdGVsaXN0IGtleSBzZWN0aW9uXG5OQ0tIUDRHemZjQyB0aGF0cyBteSBjb2RlLg=="",""Member"":""roblaks"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-20""}]}",Technical Issues,roblaks,CLOSED,<blank>
oCCz3xYRL5,2604:2d80:da0a:6c00:65de:65bc:70ba:f3f3,"{""Queries"":[{""Query"":""U2F5cyBteSBrZXkgZXhwaXJlZCwgSSByZWRlZW1lZCBhIGxpZmV0aW1lIG9uZSBlYXJsaWVyLFxuc2F5cyBleHBpcmVkIDIwMjEgMDEgMDg="",""Member"":""saipaii"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-21""}]}",Technical Issues,saipaii,SOLVED,<blank>
TgR315oNpj,2001:14ba:2eee:cd00:51b0:fe86:afc0:136a,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBGaW54Y2ls"",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-22""},{""Query"":""VGhhbmtzIHNvIG11Y2ghIEkgYXBwcmVjaWF0ZSBhbGwgdGhlIGhlbHAgOmhlYXJ0Og=="",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-22""},{""Query"":""VHJ5IGFjNjE3YWNhYmIyMTExOGY5Mzc4M2NkYTRiZTU5ZjIxIGluc3RlYWQ="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-22""},{""Query"":""WWVhaCwgaSBrbm93IHRoYXQgdGhlIHNlcmlhbCBrZXkgaXMgdGhhdCBidXQgaXQgc2F5cyBUb2tlbiBOb3QgRm91bmQu"",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-22""},{""Query"":""WW91ciBzZXJpYWwga2V5IGlzIGVoVEhrNmNUcmlWMm1PQg=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-22""},{""Query"":""RmlueGNpbC4="",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""V2hhdCB3YXMgdGhlIHVzZXJuYW1lIG9mIHRoZSBTaXJIdXJ0IGFjY291bnQgeW91IHJlZGVlbWVkIHlvdXIga2V5IG9uIHByZXZpb3VzbHk/IEkgY2FuIGxvb2sgaXQgdXAgaW4gdGhlIGFjY291bnQgcmVkZW1wdGlvbiBsb2dz"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-21""},{""Query"":""VGhlIEtleSBkb2VzbnQgd29yay4gSXQgc2F5cyBzb21ldGhpbmcgdGhhdCB0aGUgdG9rZW4gaXMgaW52YWxpZCwgSSBjb3BpZWQgdGhlIFNlcmlhbC9Db2RlIGluIG15IGVtYWlsIHlldCBpdCBzdGlsbCBkb2VzbnQgd29yayBpcyB0aGVyZSBhbnkgd2F5IGkgY291bGQgZ2V0IGEgbmV3IGtleSBvciBpdCB0byB3b3JrPw=="",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""},{""Query"":""dGhlIGtleSBzaG91bGQgYmUgdGhlIG9sZCBrZXksIG1ha2Ugc3VyZSB0byBmaW5kIHRoZSBvbGQgZW1haWwgeW91IHJlY2VpdmVkIGFuZCB1c2UgdGhlIHNhbWUga2V5IHRvIGFjdGl2YXRlIHlvdXIgYWNjb3VudCB0aGF0IHlvdSB1c2VkIHRvIGFjdGl2YXRlIHlvdXIgbGljZW5zZSBsYXN0IHRpbWU="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-21""},{""Query"":""SW0gaGF2aW5nIHByb2JsZW1zIHdpdGggdGhlIHRva2VuIGJlY2F1c2UgdGhleSBzYWlkIHNvbWV0aGluZyBhYm91dCBjdXN0b21lcyBoYXZpbmcgdG8gcmVlZGVtIHRoZWlyIGtleXMgYWdhaW4gYW5kIGkgYm91Z2h0IHRoZSBsaWZldGltZSBzdWJzY3JpcHRpb24gYW5kIGkgY2FudCBmaW5kIGEgbmV3IGtleSBhbnl3aGVyZS4gV2hhdCBkbyBpIGRvPw=="",""Member"":""Finxcil"",""IsStaff"":false,""Rank"":""Free Member"",""Query_Date"":""2021-03-21""}]}",General Inquiry,Finxcil,SOLVED,<blank>
